,time,tweets
0,2018-07-23 15:36:02,bhoomi Who gives a shit abt wht devotees think Its all about lobbying When did last time any medi
1,2018-07-23 02:09:43,what to do saar Demonitization ney pait par laat marr di
2,2018-07-23 01:29:00,NPCI There were multiple benefits of demonitization which this steps ensured I m sure you can
3,2018-07-22 22:06:57,has the tendency of targeting strongest post 1 Bangalore college SwachhBharat blunder 2
4,2018-07-22 15:48:04,DigitalIndia npci MeitY So why is more cash than before demonitization is in circulation n
5,2018-07-22 15:29:41,demonitization was not required to push up POS payments
6,2018-07-22 06:08:55, MMS of late has become weak in Economica amp Maths He said 2 poiny reduction in GST after Demonitization w
7,2018-07-22 06:06:42,MMS of late has become weak in Economica amp Maths He said 2 poiny reduction in GST after
8,2018-07-21 16:19:05,What about so called acche din What about black money recovery from outside of our cou
9,2018-07-21 15:29:09,WomenEmpowerment NarendraModi cant bring law for women safety like he did GST Demonitization
10,2018-07-21 15:03:10,100 cr rupees for new 100rs note s ATM calibration Such a waste of money and time Really Demonitization Sucks
11,2018-07-21 11:21:27,Ripple effects of Demonitization
12,2018-07-21 10:21:49,As if the Demonitization nautanki wasn t enough that we now have another cosmetic change
13,2018-07-20 17:42:23, Will answer the Parliament on niravmodi JayShah Demonitization and about awarding Rafael project to an inexperi
14,2018-07-20 17:36:20,This pappu can dance saala Still he left Demonitization GST JIOUniversity TerroristAttack BlackMoney
15,2018-07-20 16:44:10,Started from the demonitization disaster
16,2018-07-20 16:25:33,had lowered the prestige of RBI bypassing it at the time of announcing demonitization
17,2018-07-20 16:11:38, Will answer the Parliament on niravmodi JayShah Demonitization and about awarding Rafael project to an inexperi
18,2018-07-20 16:08:30,Will answer the Parliament on niravmodi JayShah Demonitization and about awarding Rafael project to a
19,2018-07-20 08:06:43,I think demonitization tagline would be this Ever wanted to hold the rainbow in your hand Now you can Introduci
20,2018-07-20 07:48:06,Its a NoConfidenceMotion or personal loss demonitization trying to give credit for GST to his party inspite of
21,2018-07-20 03:42:22,c This really creates doubts on commitment of SIT or they are not guided properly How
22,2018-07-19 15:25:40,Here is today s video we should rewatch to ensure that YouTube s demonitization scheme Fails Please go
23,2018-07-19 14:12:52,Power of demonitization
24,2018-07-19 12:26:14, ashish The cashless society is a con and big finance is behind it demonitization Peel
25,2018-07-19 11:46:41,This is good news demonitization yes ache din Jumla
26,2018-07-19 11:06:07,If you want to understand how dangerous cashless idea can be come to India n see sev
27,2018-07-19 10:56:11,The cashless society is a con and big finance is behind it demonitization Peel
28,2018-07-19 10:55:09,The cashless society is a con and big finance is behind it demonitization
29,2018-07-19 10:53:29,And thats exactly why demonitization was carried out in India just to help companies like Paytm whil
30,2018-07-19 10:03:04, Trading Business segment of SME industry is feeling now pain of Post GST amp Demonization Says Dipak Gupta Jt MD Kotak
31,2018-07-19 09:57:25,Trading Business segment of SME industry is feeling now pain of Post GST amp Demonization Says Dipak Gupta Jt MD K
32,2018-07-18 14:43:36, MTDC Mumbai s Elphinstone Road Station To Be Renamed As Prabhadevi like demonitization rename all mughul and east India co left ov
33,2018-07-18 14:35:54,Mumbai s Elphinstone Road Station To Be Renamed As Prabhadevi like demonitization rename all mughul and east India
34,2018-07-18 11:04:42,Hope it s not like Demonitization announcement by
35,2018-07-18 10:37:56,Truth of Digital India The demonitization after thought dream project of a total flop
36,2018-07-18 09:35:38, Ban on polythene z welcome step bt If small vendors cnt sell in polythene then companies shud b ban to use polythene fr pac
37,2018-07-17 20:15:53, Ban on polythene z welcome step bt If small vendors cnt sell in polythene then companies shud b ban to use polythene fr pac
38,2018-07-17 20:12:08,Ban on polythene z welcome step bt If small vendors cnt sell in polythene then companies shud b ban to use polythe
39,2018-07-17 08:05:39,Where is that demonitization gang
40,2018-07-17 07:19:29,demonitization scam was 10lakh crores this is a biggest scam after the independence of india ever all records
41,2018-07-17 02:14:34,Your article When Papa Was Lynched is just a narrative Did Hussainabba really could explain
42,2018-07-16 11:48:42,People are still waiting for him to select the chauraha Have him select one and come there You will see thw rea
43,2018-07-16 10:53:16,100 crores 2000rs notes ITRaid demonitization
44,2018-07-16 07:48:46,singh
45,2018-07-16 04:20:35,AnuMalik hahaha EPIC Lols
46,2018-07-16 03:14:39, Dear ji demonitization
47,2018-07-15 02:24:57, When the solider is standing in the border why can t you stand in the ATM Queue is what all Bhakts asked during Demo
48,2018-07-14 13:50:01, When the solider is standing in the border why can t you stand in the ATM Queue is what all Bhakts asked during Demo
49,2018-07-14 06:40:50, When the solider is standing in the border why can t you stand in the ATM Queue is what all Bhakts asked during Demo
50,2018-07-14 05:35:10, this Now they have started Blaming Demonitization and shuts Tea Gs https
51,2018-07-14 04:18:10,Ind Like continues to preside over the liquidation of my motherland in spite of
52,2018-07-14 04:03:59, When the solider is standing in the border why can t you stand in the ATM Queue is what all Bhakts asked during Demo
53,2018-07-14 03:20:54, When the solider is standing in the border why can t you stand in the ATM Queue is what all Bhakts asked during Demo
54,2018-07-14 03:20:39, When the solider is standing in the border why can t you stand in the ATM Queue is what all Bhakts asked during Demo
55,2018-07-14 03:14:24, When the solider is standing in the border why can t you stand in the ATM Queue is what all Bhakts asked during Demo
56,2018-07-14 03:11:49,When the solider is standing in the border why can t you stand in the ATM Queue is what all Bhakts asked during
57,2018-07-13 17:22:42,A very good read thanks for this Daniel On Demonitization and India s experience Lots to consider here for
