,time,tweets
0,2018-07-23 15:40:43, MobLynching is word corruptcongress using to defame modisarkar but in vain
1,2018-07-23 15:36:59,MobLynching is word corruptcongress using to defame modisarkar but in vain
2,2018-07-23 12:45:59, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
3,2018-07-23 10:08:01, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
4,2018-07-23 09:36:10,wiser politicians would have never touched a subject like CowVigilantism But in order for quick popularity
5,2018-07-23 09:33:01,welcome to the land of lawlessness welcome to rajashtan lynching humanity modisarkar
6,2018-07-23 08:32:05, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
7,2018-07-23 08:05:37, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
8,2018-07-23 07:51:37,Depends on pappu if he campaign extensively modisarkar
9,2018-07-23 03:29:32,ModiSarkar reaches every nook and corners of the country
10,2018-07-23 02:31:47, Our Generation Next wants to do business in ethical way Our ministers and leaders are working day and night to build
11,2018-07-22 19:11:02, 71
12,2018-07-22 18:48:29, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
13,2018-07-22 18:10:33,1 thing is clear after NoConfidenceMotion debate ModiSarkar Jis raaste se aayi thi Usi raaste se Sat
14,2018-07-22 17:52:52,Although I want ModiSarkar again but it s never a good idea to celebrate too early
15,2018-07-22 17:07:51,Over 2833 incidents of communal violence reported in last three years NationalCrimeRecordsBureau achchedin ModiSarkar
16,2018-07-22 15:53:15,Under modisarkar carpets have become thinner lighter and can be used as curtains
17,2018-07-22 15:19:24,Since yogiadityanath has come to power UP PWD is hiring engineers with fake degrees and guys who even failed their
18,2018-07-22 14:05:38,The narrative being created is that ModiSarkar is spreading hate There is fear in India and there is no
19,2018-07-22 13:45:26,1 thing is clear after NoConfidenceMotion debate ModiSarkar Jis raaste se aayi thi Usi raaste se Satta se Jaaygi
20,2018-07-22 12:43:39, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
21,2018-07-22 12:08:13,Modi ModiSarkar removes SanitaryNapkins from GST thanks 2 our Nationalistic HERO ONE AND ONLY
22,2018-07-22 11:38:04, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
23,2018-07-22 10:26:51,Well donee MODI sir We love and support MODI PrimeMinister lovemodi modisarkar BJP india IncredibleIndia starup
24,2018-07-22 10:21:45, Congress may again introduce NoConfidenceMotion against ModiSarkar in Parliament to erase winking scene from mind of peop
25,2018-07-22 10:16:15, Congress may again introduce NoConfidenceMotion against ModiSarkar in Parliament to erase winking scene from mind of peop
26,2018-07-22 10:04:17, Congress may again introduce NoConfidenceMotion against ModiSarkar in Parliament to erase winking scene from mind of peop
27,2018-07-22 09:58:56,Congress may again introduce NoConfidenceMotion against ModiSarkar in Parliament to erase winking scene from mind of people
28,2018-07-22 09:24:26, pv Did ModiSarkar took single any initiative in Indias R amp D space to create New Technology By India for India By India for th
29,2018-07-22 08:49:20, One more HusbandSuicide is on ModiSarkar He found that his wife committed Adultery but he was threatened with 498a
30,2018-07-22 08:48:48, One more HusbandSuicide is on ModiSarkar He found that his wife committed Adultery but he was threatened with 498a
31,2018-07-22 08:22:03, sir i want to say that there are many misunderstandings about your modisarkar Some of our society spre
32,2018-07-22 08:18:07,Don t understand why every minister is thanking the PM for GSTFreeSanitaryNapkins It isn t like that gst was imp
33,2018-07-22 08:17:23,sir i want to say that there are many misunderstandings about your modisarkar Some of our society s
34,2018-07-22 08:06:09,AjayKumar Advocate amp President WorldParliament welcoming the guest at World Parliament Conclave VK Mishra Cha
35,2018-07-22 08:05:48,AjayKumar Advocate amp President WorldParliament welcoming the guest at World Parliament Conclave VK Mishra Cha
36,2018-07-22 07:28:45, The Government of India allowed the Office of Free Baluchistan in Delhi Pakistan has been shocked in India s efforts Mo
37,2018-07-22 06:48:07, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
38,2018-07-22 06:45:39, One more HusbandSuicide is on ModiSarkar He found that his wife committed Adultery but he was threatened with 498a
39,2018-07-22 05:44:35, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
40,2018-07-22 04:42:07,The Government of India allowed the Office of Free Baluchistan in Delhi Pakistan has been shocked in India s effo
41,2018-07-22 03:40:41, pv Did ModiSarkar took single any initiative in Indias R amp D space to create New Technology By India for India By India for th
42,2018-07-22 03:33:50, One more HusbandSuicide is on ModiSarkar He found that his wife committed Adultery but he was threatened with 498a
43,2018-07-22 03:26:27, One more HusbandSuicide is on ModiSarkar He found that his wife committed Adultery but he was threatened with 498a
44,2018-07-22 03:17:38, Centre opposes plea in SC that seeks to make women also liable for crime of adultery JusticeForAl
45,2018-07-22 03:17:30, ModiSarkar is lobotomized and can t accept that Women can do crime They countered in the SC that women cant be char
46,2018-07-22 03:13:15, One more HusbandSuicide is on ModiSarkar He found that his wife committed Adultery but he was threatened with 498a
47,2018-07-22 03:10:58, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
48,2018-07-22 03:08:10,Did ModiSarkar took single any initiative in Indias R amp D space to create New Technology By India for India By Ind
49,2018-07-22 03:03:05, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
50,2018-07-22 02:51:40,By Refusing to be transparent on RafaleDeal price and removal of Tech Transfer to HAL to make future fighters in I
51,2018-07-22 02:16:37, womenempowerment is one of the top priorities of modisarkar thanks modiji
52,2018-07-22 02:10:03,womenempowerment is one of the top priorities of modisarkar thanks modiji
53,2018-07-22 01:51:53, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
54,2018-07-22 00:30:59, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
55,2018-07-22 00:29:43, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
56,2018-07-21 20:08:31,why dont you bring the petrol and diesel into gst All things are use
57,2018-07-21 19:13:04, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
58,2018-07-21 19:00:06,ModiSarkar Sirs since you have already serviced all intl debt commit
59,2018-07-21 18:56:58, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
60,2018-07-21 18:54:58, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
61,2018-07-21 18:53:44, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
62,2018-07-21 18:52:58, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
63,2018-07-21 18:20:10, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
64,2018-07-21 18:17:47,Yes they were watching which is why French Govt provided the clarification
65,2018-07-21 17:48:17, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
66,2018-07-21 17:36:44, We also need a counter narrative a vision for India with action plan for all the failures of ModiSarkar amp providing
67,2018-07-21 17:33:34, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
68,2018-07-21 17:05:31, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
69,2018-07-21 17:05:16, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
70,2018-07-21 17:04:42, BetiBachao was launched by ModiSarkar in Haryana And the state has become a horror state for women When will they
71,2018-07-21 16:55:36, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
72,2018-07-21 16:54:55, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
73,2018-07-21 16:46:02, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
74,2018-07-21 16:44:39, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
75,2018-07-21 16:40:29, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
76,2018-07-21 16:37:22, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
