,time,tweets
0,2018-07-22 10:08:51,sir i am huge fan Of two persons in india one is you and another is and you are first politi
1,2018-07-21 17:03:01, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
2,2018-07-21 07:03:38,Plate s full ModiGovt succeeds at running a gamut of JanDhanyojana women welfare amp cheap insurance making a sur
3,2018-07-21 05:27:39, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
4,2018-07-21 01:37:26,
5,2018-07-20 19:15:54, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
6,2018-07-20 17:03:34, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
7,2018-07-20 17:03:26,
8,2018-07-20 16:08:13,NoConfidenceMotion starts with NorthEast JanDhanYojana UjjwalaScheme Bima AyushmanBharat DoubleFarmerIncome
9,2018-07-20 13:25:53,
10,2018-07-20 13:10:05,
11,2018-07-20 13:00:39,
12,2018-07-20 12:53:36,
13,2018-07-20 12:21:42,Clearly I m not interested in opening multiple bank account s If u are so much interest
14,2018-07-20 10:26:13, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
15,2018-07-20 10:03:01, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
16,2018-07-20 09:29:51, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
17,2018-07-20 08:54:17, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
18,2018-07-20 08:51:24, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
19,2018-07-20 08:41:56, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
20,2018-07-20 08:35:58, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
21,2018-07-20 08:28:57, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
22,2018-07-20 08:21:14, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
23,2018-07-20 08:09:13, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
24,2018-07-20 08:08:07, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
25,2018-07-20 08:05:54, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
26,2018-07-20 08:02:27, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
27,2018-07-20 07:53:22, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
28,2018-07-20 07:50:55, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
29,2018-07-20 07:50:05, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
30,2018-07-20 07:49:44, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
31,2018-07-20 07:40:46, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
32,2018-07-20 07:05:23, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
33,2018-07-20 07:03:50, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
34,2018-07-20 06:41:13, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
35,2018-07-20 06:34:39, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
36,2018-07-20 06:32:07, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
37,2018-07-20 06:23:20, Funtoos Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney 0
38,2018-07-20 06:21:37,Report card of Modi Gov Demonetisation 0 10 JanDhanYojana 0 10 BlackMoney
39,2018-07-19 16:39:09,Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step
40,2018-07-18 11:00:45, Aawaaz Plate s full Govt succeeds at running a gamut of JanDhanyojana women welfare amp cheap insurance making a
41,2018-07-18 10:56:27,Plate s full Govt succeeds at running a gamut of JanDhanyojana women welfare amp cheap insurance ma
42,2018-07-17 15:16:09, vert JanDhanYojana is good but Is India have infrastructure for it Why not digitising banks and making it secure under blo
43,2018-07-17 15:02:18, Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step AmitShahInTN
44,2018-07-17 08:45:52, 3 years back I had never gone to a bank Today I have helped open more than 1 000 JanDhanYojana accounts MP woman wor
45,2018-07-16 19:26:10,No wander on it as achievement list not poor Cracked down black money through Demonetization MakeInIndia
46,2018-07-16 06:41:54,Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step
47,2018-07-16 04:41:38, Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step PyN
48,2018-07-16 04:37:19,Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step
49,2018-07-16 04:35:48, Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step Py
50,2018-07-16 03:41:37, Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step PyN
51,2018-07-16 03:29:55, Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step PyN
