time,tweets
2018-08-08 10:32:55,"RT @_Bhardwaj36: #NoConfidenceMotion
@narendramodi  See the tyranny of haryana government #खट्टर_का_काला_चिट्ठा insulted a soldier by the h…"
2018-08-08 10:31:47,"RT @_Bhardwaj36: #NoConfidenceMotion
#हरियाणा_में_हिटलर_राज 
why the government is putting pressure on the judges. what's the secret of thi…"
2018-08-08 10:13:06,"RT @rahul_tverma: What would #TDP achieve in Andhra Politics by performing in Delhi theatre?

@kailashkk argues that  #NoConfidenceMotion d…"
2018-08-08 10:13:00,"RT @ncbn: I want to thank all the national and regional parties who supported us in our fight for justice, inspite of all the political bar…"
2018-08-08 10:03:08,"RT @Rita_Banerji: .@RitabrataBanerj thanks. @saileenas said you will raise #Aadhaar at the #NoConfidenceMotion.

 Please ASK How is Aadhaar…"
2018-08-08 09:10:17,"RT @bajrangbali79: Considering the terrible phase #India has been going through the last 4 years under #Modi - especially economy, unemploy…"
2018-08-08 08:35:27,"RT @abhishkJntrMnt: #NoConfidenceMotion
@IndiaToday @abpnewstv @IYCUttarakhand @loksabhatv @yschowdary @akhileshanandd @SudhanshuBJP @Sandi…"
2018-08-08 08:35:14,"RT @abhishkJntrMnt: #NoConfidenceMotion
To what extent can the Haryana Govt go to hide Truth behind Barwala kand!
#खट्टर_का_काला_चिठ्ठा  
@…"
2018-08-08 08:35:03,"RT @abhishkJntrMnt: #खट्टर_का_काला_चिठ्ठा  
#NoConfidenceMotion
@HarshadeSilvaMP @MohamedNasheed @NalakaG @akashbanerjee @hmtvlive @TV9Telu…"
2018-08-08 07:51:09,RT @BJP4India: PM Modi is addressing the Parliament on #NoConfidenceMotion. Watch at URL #IndiaTrustsModi URL
2018-08-08 07:47:39,RT @AshokChavanINC: The double standards of the Shiv Sena have been exposed in front of the entire nation. The people of Maharashtra will n…
2018-08-08 07:47:37,RT @AshokChavanINC: Shiv Sena cannot simply stage a walkout during the #NoConfidenceMotion. What is said in Samana has to be said on the fl…
2018-08-08 07:42:59,RT @timeSQ007: @realDonaldTrump Wow who’s the hero @realDonaldTrump #NotMyPresident #NoConfidenceMotion
2018-08-08 07:42:27,RT @timeSQ007: @realDonaldTrump Wow who’s the hero @realDonaldTrump #NotMyPresident #NoConfidenceMotion
2018-08-08 07:40:11,"RT @APwithCBN: In the history of parliament, no other party has ever made a protest like us through No Confidence – @NCBN
#APDemandsJustice…"
2018-08-08 07:33:50,@realDonaldTrump Wow who’s the hero @realDonaldTrump #NotMyPresident #NoConfidenceMotion
2018-08-08 07:10:30,RT @JitinPrasada: @RahulGandhi stood up against the might of the govt and exposed their betrayal of the people of India and their aspiratio…
2018-08-08 06:31:23,@punit_jha @KialoHQ @Anshuman_Gan Now every Indian understood how @PMOIndia cheated.. Just हवाकी भात.. We know how… URL
2018-08-08 06:27:11,RT @JitinPrasada: @RahulGandhi stood up against the might of the govt and exposed their betrayal of the people of India and their aspiratio…
2018-08-08 06:26:47,Janasena Vijay Babu About No-Confidence Motion On Modi For AP Special St... URL via @YouTube… URL
2018-08-08 06:00:24,"RT @AakashTaywade: Hon. Shri @nitin_gadkari Ji while listening to Modi Ji's #NoConfidenceMotion speech..
1st time Modi Ji were out of track…"
2018-08-08 05:59:25,"RT @Pandey_Nupur01: As Kings appointed Comedians and Joker in their Court Similarly ....

 Parliament has appointed Rahul Gandhi the Comedi…"
2018-08-08 05:27:14,"RT @arvindmaxnet: .....and some fool's still don't believe that Rahul is star campaigner of BJP
#NoConfidenceMotion URL"
2018-08-08 05:25:04,RT @SuPriyoBabul: The entire country saw what the eyes did today. It is clear in front of everyone: PM Modi  #NoConfidenceMotion #IndiaTrus…
2018-08-08 05:02:16,RT @ncbn: This is a fight between majority and morality. We want the provisions of the Act and promises made to people of Andhra Pradesh du…
2018-08-08 04:57:07,"RT @ncbn: Initiating the #NoConfidenceMotion, @jaygalla comprehensively exposed injustice done to AP. On behalf of 5 Cr people of AP, we de…"
2018-08-08 04:21:58,"RT @rahul_tverma: What would #TDP achieve in Andhra Politics by performing in Delhi theatre?

@kailashkk argues that  #NoConfidenceMotion d…"
2018-08-08 04:11:26,Parliament’s monsoon session passes 5 major bills | News Junction URL #Parliament… URL
2018-08-08 04:11:15,"What would #TDP achieve in Andhra Politics by performing in Delhi theatre?

@kailashkk argues that… URL"
2018-08-08 03:31:58,"RT @deepikapadukom: @ImRo45 @adidas Who is your Favorite captain???

Retweet For #MSDhoni
Favorite For #ViratKohli
Reply For #RohitSharma…"
2018-08-08 02:43:46,"RT @badamswamy: #NoConfidenceMotion
@ncbn will suffer with #LooseMotion after failure of #NoConfidenceMotion which created by brainless #TD…"
2018-08-08 01:33:17,"RT @ncbn: I want to thank all the national and regional parties who supported us in our fight for justice, inspite of all the political bar…"
2018-08-07 23:42:53,"@CNNnews18 After 325/125 #छिछालेदर defeat in LS #NoConfidenceMotion
Congress has decided to field its nominee as a… URL"
2018-08-07 21:50:55,"RT @ncbn: Initiating the #NoConfidenceMotion, @jaygalla comprehensively exposed injustice done to AP. On behalf of 5 Cr people of AP, we de…"
2018-08-07 21:49:47,RT @ncbn: This is a fight between majority and morality. We want the provisions of the Act and promises made to people of Andhra Pradesh du…
2018-08-07 21:47:12,"RT @ncbn: I want to thank all the national and regional parties who supported us in our fight for justice, inspite of all the political bar…"
